,chocolate_color,bake_time,sugar,flour,margerine,chocolate,vanilla_flavour,almonds,density,brown_sugar,weight,cinnamon,taste
73,0,11.273,127.333,107.831,105.982,104.983,0.278,12.673,0.569,54.264,10.73,8.261,7
74,0,12.182,110.667,115.663,101.687,103.987,1.042,14.747,0.561,36.434,9.972,5.652,7
75,0,11.636,113.333,118.072,101.38,102.824,0.521,12.442,0.546,46.512,8.202,6.522,7
76,0,14.909,106.0,116.265,106.135,106.811,0.382,10.599,0.637,27.907,7.107,2.174,6
77,1,16.364,119.333,125.904,102.607,108.97,0.191,1.498,0.662,34.884,9.972,4.638,7
78,1,21.636,136.0,140.361,107.055,112.791,0.087,1.498,0.725,38.76,8.961,7.826,8
79,1,15.455,107.333,125.301,101.534,107.973,0.295,2.765,0.633,44.186,8.961,4.638,6
80,0,11.818,114.667,118.072,102.147,103.488,0.642,15.668,0.535,53.488,6.601,7.101,7
81,0,12.727,115.333,124.096,108.896,104.983,0.66,21.313,0.655,32.558,7.528,2.609,5
82,0,13.818,114.0,132.53,115.491,106.146,1.007,26.267,0.683,25.581,8.287,2.174,5
83,0,15.455,108.0,120.482,100.92,105.15,0.486,12.903,0.617,32.558,6.601,3.768,6
84,0,12.182,117.333,127.711,106.288,103.322,0.347,10.138,0.575,44.186,8.371,6.232,6
85,0,13.455,109.333,121.687,100.92,107.143,0.642,13.94,0.619,24.806,7.697,1.739,5
86,1,14.0,126.0,100.0,102.454,109.635,0.104,0.922,0.655,52.713,8.034,4.203,4
87,0,12.182,117.333,116.265,103.067,102.492,0.33,11.406,0.567,52.713,8.792,6.087,7
88,0,14.0,102.667,119.277,113.804,107.475,1.094,17.972,0.675,52.713,6.601,2.029,5
89,1,15.091,127.333,115.663,101.994,108.804,0.139,2.88,0.683,51.938,8.539,2.319,5
90,0,13.818,116.0,117.47,106.595,104.485,0.694,16.59,0.588,51.163,6.77,6.087,6
91,0,13.818,108.667,125.301,107.209,104.651,0.608,13.479,0.618,32.558,7.528,4.203,6
92,1,25.273,123.333,134.94,101.994,110.133,0.243,3.917,0.756,26.357,7.275,1.449,5
93,1,18.364,134.0,126.506,102.607,110.299,0.347,7.143,0.733,57.364,8.455,2.174,5
94,0,13.091,112.0,121.687,100.92,104.319,0.729,13.825,0.574,22.481,8.455,4.928,6
95,0,14.364,122.0,117.47,101.84,103.821,0.434,7.834,0.534,18.605,6.096,7.246,8
96,0,12.182,118.667,119.88,100.767,106.811,0.399,18.779,0.608,33.333,9.719,2.174,6
97,1,18.182,121.333,118.675,102.454,113.455,0.208,6.452,0.683,27.132,8.455,3.623,6
98,0,12.545,108.0,111.446,117.945,106.478,0.92,16.014,0.684,34.109,6.685,1.884,6
99,1,16.364,136.0,105.422,102.454,112.458,0.174,11.751,0.679,33.333,8.708,2.609,5
100,0,13.455,104.667,119.88,106.288,108.306,0.521,12.903,0.664,55.039,6.433,1.449,7
101,0,14.364,114.0,122.289,111.81,105.814,0.764,25.461,0.683,31.008,7.107,1.449,5
102,1,14.545,130.0,115.663,102.147,115.282,0.26,7.604,0.666,33.333,7.949,2.029,5
103,0,13.091,108.0,116.265,115.798,104.817,0.486,14.286,0.651,30.233,6.854,3.623,7
104,0,14.909,112.667,119.277,100.92,105.648,0.382,7.604,0.601,26.357,8.876,3.623,5
105,0,12.909,110.0,115.06,125.613,106.146,0.243,11.982,0.715,33.333,6.685,1.739,6
106,0,15.455,109.333,129.518,104.908,105.482,0.434,11.406,0.614,29.457,6.433,3.623,5
107,0,15.091,113.333,121.084,122.546,107.807,0.521,12.788,0.745,42.636,7.36,2.319,5
108,0,14.364,109.333,118.072,111.656,106.312,0.712,23.157,0.683,47.287,7.022,2.174,6
109,0,14.364,107.333,114.458,108.742,107.475,0.573,25.922,0.679,49.612,7.697,2.899,6
110,0,14.182,108.0,113.253,101.534,105.814,0.278,10.945,0.647,50.388,7.612,2.899,5
111,0,13.455,115.333,115.06,115.184,105.648,0.503,18.318,0.695,49.612,7.781,3.696,6
112,0,14.364,138.333,112.048,114.724,110.299,0.469,23.733,0.693,18.605,8.034,1.739,6
113,0,13.455,110.0,124.096,101.534,106.312,0.069,14.631,0.614,39.535,9.045,4.928,6
114,1,16.0,121.333,118.675,101.994,112.126,0.122,2.074,0.671,40.31,8.961,3.768,6
115,0,13.091,112.667,124.699,101.074,107.143,0.26,15.668,0.654,54.264,7.107,2.899,6
116,0,12.545,107.333,117.47,102.147,102.159,0.556,10.369,0.537,24.806,7.697,6.957,7
117,0,14.727,114.0,140.361,111.503,104.651,0.903,18.433,0.683,13.953,6.601,1.304,6
118,1,18.0,112.667,124.699,102.147,113.621,0.087,1.152,0.71,43.411,9.045,2.464,5
119,1,13.636,130.667,102.41,103.681,111.296,0.104,2.419,0.723,75.194,10.815,2.029,6
120,0,15.091,114.667,125.301,121.012,105.98,0.764,23.848,0.731,35.659,8.455,1.739,5
121,0,12.364,104.667,127.711,101.534,104.983,0.642,13.479,0.614,51.163,7.444,2.464,6
122,0,14.0,106.0,118.675,101.534,104.651,0.243,11.175,0.575,32.558,7.36,5.797,6
123,0,12.727,104.667,117.47,101.84,105.814,0.347,12.558,0.588,29.457,6.348,3.188,5
124,0,11.636,108.0,116.265,101.227,103.654,0.191,8.18,0.565,41.085,6.18,4.203,7
125,0,15.091,120.667,120.482,114.417,107.807,0.59,19.816,0.698,41.86,8.202,3.188,5
126,0,15.273,108.0,114.458,101.534,102.824,0.434,21.083,0.575,27.907,9.382,5.942,7
127,0,12.182,105.333,120.482,108.436,104.153,0.521,12.442,0.626,46.512,8.034,3.116,7
128,0,13.091,118.0,111.446,115.184,108.472,0.243,8.756,0.669,31.783,6.348,2.754,4
129,0,12.545,118.0,118.072,107.822,104.319,0.122,10.484,0.608,42.636,6.601,4.348,7
130,0,15.455,116.667,115.663,100.92,105.814,0.382,11.175,0.617,36.434,7.697,3.623,6
131,0,11.818,116.0,111.446,121.319,105.482,0.625,12.558,0.688,34.109,6.77,3.333,5
132,1,10.727,126.0,106.627,102.454,106.478,0.26,9.562,0.591,63.566,10.562,8.068,7
133,0,14.364,120.667,122.289,100.767,105.648,0.608,12.327,0.575,51.938,7.191,6.812,8
134,0,17.455,123.333,118.072,101.38,106.811,0.104,19.47,0.654,30.233,6.938,2.464,4
135,0,12.727,114.0,118.072,109.049,133.223,1.059,17.281,0.648,29.457,6.517,2.029,5
136,1,18.182,135.667,116.867,103.988,112.957,0.295,7.604,0.75,45.736,7.612,2.464,5
137,0,13.455,104.667,118.072,107.209,106.811,0.677,13.94,0.637,52.713,6.433,2.464,6
138,0,12.0,105.333,122.289,101.38,102.658,0.729,12.788,0.61,57.364,7.444,2.464,6
139,0,13.273,108.667,125.301,113.037,106.645,0.521,16.59,0.658,31.008,9.382,2.754,7
140,0,12.727,124.667,104.217,100.767,103.488,0.156,14.401,0.565,19.38,5.506,4.058,5
141,0,12.727,113.333,116.265,115.951,105.482,0.764,16.359,0.707,32.558,7.022,1.014,5
142,0,14.182,117.333,113.855,112.73,115.947,0.365,17.166,0.689,22.481,8.034,2.174,5
143,0,15.636,105.333,121.687,101.38,103.987,0.226,13.364,0.635,37.209,6.433,3.333,4
144,1,21.273,124.667,143.976,103.988,109.468,0.087,1.843,0.722,34.884,8.708,4.638,6
145,0,12.545,112.667,115.06,107.975,104.817,0.885,17.166,0.652,43.411,6.348,2.029,6
146,0,16.727,127.0,117.47,105.368,102.824,0.312,10.945,0.59,22.481,6.348,6.377,5
147,0,13.818,104.667,116.867,121.626,106.977,0.486,16.475,0.708,18.605,6.433,1.449,7
148,1,19.273,140.667,106.627,101.227,112.458,0.122,2.074,0.667,12.403,7.107,2.464,5
149,0,12.727,114.667,116.265,106.748,108.14,0.451,16.705,0.594,38.76,7.275,6.087,6
150,0,12.364,108.667,116.265,101.687,104.817,0.694,16.59,0.619,59.69,9.129,3.623,7
151,0,14.545,118.0,114.458,108.282,105.482,0.469,13.479,0.614,32.558,6.854,4.783,5
152,0,17.455,114.667,129.518,110.123,104.983,0.538,8.986,0.629,17.054,5.843,5.072,6
153,1,12.0,128.0,100.0,101.227,107.973,0.243,2.304,0.642,49.612,6.938,2.174,5
154,0,13.091,128.0,115.663,116.411,103.322,0.538,11.982,0.614,42.636,9.719,7.101,8
155,0,14.364,120.0,113.855,109.049,106.811,0.295,11.06,0.614,29.457,7.781,4.638,4
156,1,17.091,124.0,129.518,103.374,112.292,0.295,12.097,0.714,44.961,8.202,2.174,5
157,0,14.909,120.0,112.048,104.294,106.146,0.139,12.673,0.641,33.333,6.601,2.029,5
158,0,12.727,108.667,130.12,116.871,105.482,0.764,16.935,0.695,33.333,6.77,1.159,5
159,0,11.818,138.0,113.855,106.748,104.319,0.33,14.055,0.559,57.364,7.191,6.957,6
160,0,10.364,115.0,107.831,101.764,104.485,0.278,7.719,0.556,52.713,7.444,6.28,5
161,0,10.727,108.667,117.47,100.153,103.156,0.174,6.912,0.597,44.961,6.517,2.609,5
162,0,13.818,112.0,135.542,101.227,104.651,0.677,13.134,0.59,48.062,6.601,4.493,7
163,1,13.455,139.333,101.205,101.84,106.811,0.069,0.576,0.675,58.915,7.528,2.174,5
164,0,12.545,118.667,118.072,106.442,106.645,0.226,9.101,0.617,43.411,6.433,3.768,5
165,0,13.091,112.0,122.892,109.049,126.744,1.163,22.465,0.664,36.434,6.348,2.029,6
166,0,14.545,108.667,116.265,110.276,103.654,0.694,15.899,0.617,33.333,6.348,5.507,7
167,0,14.0,109.333,119.88,103.374,103.987,0.816,16.935,0.554,33.333,6.348,6.812,7
168,1,13.636,118.667,115.06,102.761,114.784,0.069,1.152,0.679,53.488,8.202,3.043,6
169,1,13.091,133.333,100.0,102.454,115.116,0.851,6.567,0.661,67.442,8.876,4.928,6
170,0,12.727,104.0,118.675,100.92,104.153,0.903,15.207,0.572,51.163,6.096,5.072,7
171,1,17.455,148.0,107.229,102.761,112.292,0.122,2.535,0.717,47.287,8.624,3.478,6
172,1,14.182,122.0,118.072,102.301,112.292,0.59,7.604,0.691,55.814,7.528,2.029,5
173,1,13.091,143.667,101.205,111.196,118.771,1.163,13.594,0.737,58.14,7.612,2.754,5
174,0,13.273,114.667,117.47,103.374,102.658,0.625,11.636,0.586,45.736,8.455,4.783,7
175,0,14.909,118.667,129.518,116.411,106.146,1.493,24.77,0.718,22.481,6.77,1.739,5
176,0,12.727,105.333,116.867,102.454,105.482,0.556,10.023,0.583,45.736,6.77,4.493,6
177,1,15.091,159.0,106.024,102.301,117.11,0.174,1.843,0.677,41.86,7.36,2.174,5
178,0,13.636,123.333,116.867,113.497,107.807,0.486,20.392,0.67,34.884,6.77,2.029,5
179,0,12.727,116.0,113.855,123.926,107.641,0.608,19.585,0.722,41.86,7.697,1.594,5
180,0,13.455,106.667,114.458,114.11,108.14,1.094,20.968,0.656,31.783,7.444,3.768,6
181,0,12.909,111.333,119.277,114.264,105.98,0.694,14.055,0.678,35.659,7.528,2.319,6
182,0,12.727,109.333,119.277,110.123,103.156,0.243,8.871,0.614,31.783,7.781,4.203,8
183,1,18.0,118.667,123.494,101.38,111.794,0.694,5.645,0.681,58.14,9.298,4.203,6
184,0,14.545,104.667,125.301,101.687,105.98,0.833,17.051,0.594,21.705,8.202,3.478,6
185,0,10.727,116.0,107.229,109.202,105.648,0.365,15.553,0.627,49.612,8.202,3.478,6
186,0,13.455,112.667,107.229,101.074,105.15,1.493,18.664,0.594,35.659,6.601,2.899,5
187,0,14.0,110.667,124.699,126.38,106.146,0.66,16.014,0.745,46.512,6.433,1.014,5
188,0,12.545,103.333,125.301,100.767,105.648,1.076,16.129,0.568,31.783,9.213,4.638,7
189,1,14.909,125.333,106.627,103.067,111.628,0.191,4.954,0.687,37.984,7.949,2.899,5
190,0,11.818,117.333,118.675,102.147,103.488,0.642,15.668,0.535,52.713,6.601,7.101,7
191,0,15.091,115.333,115.663,111.043,103.654,0.382,9.677,0.641,31.783,7.36,3.478,5
192,1,14.909,130.667,101.205,101.687,112.625,0.278,2.88,0.669,50.388,7.444,3.478,6
193,0,15.273,105.333,124.699,101.687,102.824,0.486,15.438,0.575,23.256,9.719,6.522,6
194,0,13.818,130.0,101.205,100.613,104.485,0.66,11.636,0.614,37.209,5.843,1.449,5
195,0,10.0,117.0,108.434,101.074,104.485,1.181,18.664,0.597,58.14,7.022,3.575,5
196,0,12.545,110.0,129.518,109.969,106.811,1.146,23.502,0.654,39.535,6.011,2.174,5
197,1,16.182,135.667,113.253,103.067,112.957,0.087,1.498,0.714,41.86,8.287,1.884,5
198,1,12.182,133.333,113.855,102.914,105.814,0.26,7.373,0.624,57.364,8.624,6.522,6
199,0,12.364,114.667,116.867,101.534,104.485,0.469,11.521,0.522,32.558,6.601,7.681,6
200,0,14.727,115.0,122.892,101.227,106.312,0.503,10.253,0.586,38.76,7.528,5.072,7
201,1,15.273,117.333,122.289,102.147,112.126,0.399,5.991,0.679,48.062,8.118,2.029,6
202,1,14.182,137.667,100.0,101.994,114.618,0.243,3.802,0.686,50.388,8.034,1.739,6
203,0,15.273,112.0,144.578,110.583,105.814,1.007,17.742,0.671,38.76,8.539,2.899,6
204,1,16.727,130.0,113.253,102.147,115.116,0.104,2.419,0.685,37.209,7.865,3.188,6
205,1,14.545,137.333,110.241,107.362,126.412,0.885,10.599,0.698,43.411,7.36,2.174,5
206,0,14.0,123.333,118.072,109.202,102.658,0.243,15.207,0.58,35.659,7.022,6.667,6
207,0,12.727,115.333,116.867,102.914,104.983,0.573,15.092,0.545,38.76,6.348,6.812,6
208,0,14.909,116.0,134.94,124.77,106.811,0.729,18.088,0.747,33.333,7.697,1.739,5
209,0,12.545,116.667,125.301,125.46,104.651,0.972,18.894,0.726,41.86,7.949,2.029,6
210,0,16.545,104.667,129.518,101.38,103.654,0.278,13.364,0.617,24.031,6.517,3.333,6
211,0,15.273,113.333,120.482,101.534,103.156,0.538,12.903,0.558,21.705,6.348,5.942,7
212,0,11.636,112.0,114.458,113.19,105.814,0.938,16.82,0.673,45.736,6.348,2.029,5
213,0,12.182,116.0,116.867,109.202,101.993,0.486,14.516,0.592,33.333,6.18,5.0,7
214,1,15.273,143.667,104.819,102.761,113.787,0.156,4.032,0.698,40.31,9.129,2.609,6
215,0,14.182,108.0,118.072,102.147,104.983,0.729,20.968,0.577,44.961,6.601,5.797,6
216,0,14.909,116.0,121.687,101.534,105.15,0.538,17.166,0.614,39.535,7.528,4.783,6
217,0,14.909,115.333,117.47,115.184,105.15,0.347,16.014,0.683,24.806,6.096,2.029,5
218,0,15.091,121.333,116.265,105.982,104.153,0.451,10.253,0.589,37.984,8.118,6.232,8
219,1,14.182,118.667,127.711,102.301,110.797,0.399,4.378,0.659,52.713,10.309,4.348,7
220,0,13.091,124.667,125.904,110.123,109.136,0.521,20.737,0.66,31.008,6.854,2.029,5
221,0,13.455,109.333,117.47,112.73,106.146,1.406,20.968,0.662,44.961,6.854,3.333,6
222,1,12.182,142.333,106.024,103.067,107.309,0.208,2.419,0.626,65.891,7.36,5.652,5
223,0,13.091,114.667,115.06,111.35,104.485,0.347,13.594,0.626,26.357,6.348,4.058,6
224,0,11.273,110.0,117.47,103.834,102.326,0.312,9.562,0.569,41.085,7.444,4.638,6
225,0,11.636,116.0,116.867,105.675,103.821,0.781,12.558,0.545,34.109,7.949,7.246,8
226,0,14.364,114.667,119.88,102.607,105.648,0.469,13.71,0.572,48.062,6.854,6.667,7
227,0,13.818,103.333,122.289,118.788,105.482,0.608,11.406,0.668,25.581,7.781,3.913,6
228,0,12.909,109.333,127.108,111.35,107.309,0.885,21.889,0.669,39.535,7.191,1.594,6
229,1,16.182,136.333,112.048,101.38,111.794,0.451,13.018,0.695,34.109,12.584,1.594,4
230,0,14.182,121.333,122.892,102.454,103.488,0.677,11.866,0.57,42.636,7.022,6.667,6
231,0,13.273,115.333,110.843,110.89,105.648,0.972,22.35,0.665,34.884,6.854,2.029,6
232,1,17.091,134.0,110.843,103.528,113.289,0.191,7.834,0.698,32.558,7.697,2.029,5
233,0,15.273,127.333,129.518,109.816,105.648,0.486,16.475,0.656,37.984,5.927,2.899,5
234,0,14.909,118.0,127.711,121.626,106.312,0.556,16.705,0.692,24.031,7.612,3.333,5
235,0,10.182,116.667,113.855,117.178,103.488,0.382,17.512,0.618,53.488,8.539,5.507,6
236,0,12.727,109.333,119.277,117.485,109.468,0.972,17.512,0.733,68.217,6.77,1.449,6
237,0,15.636,113.333,125.301,109.969,105.98,0.694,18.779,0.669,34.884,6.77,3.768,5
238,0,15.091,122.667,122.892,111.503,108.638,0.833,15.899,0.683,52.713,8.034,4.348,6
239,1,14.545,173.667,100.0,105.598,114.618,0.069,0.922,0.683,70.543,7.697,3.913,3
240,0,13.455,111.333,122.892,111.503,106.146,0.399,17.166,0.664,47.287,8.118,3.188,6
241,0,13.636,110.667,119.88,101.687,104.319,0.799,14.977,0.556,41.86,6.517,6.667,7
242,0,13.091,106.667,116.867,104.141,105.814,0.295,9.793,0.614,54.264,8.539,4.058,6
243,1,18.909,128.0,120.482,102.607,114.12,0.156,4.493,0.722,40.31,8.202,2.464,7
244,0,13.273,126.667,119.277,101.227,101.993,0.365,13.249,0.535,33.333,7.612,6.812,7
245,1,14.182,130.667,116.265,103.067,112.458,0.191,8.295,0.679,51.938,9.129,4.348,5
246,1,15.818,130.0,113.253,102.454,111.462,0.556,9.562,0.686,41.86,7.022,2.319,6
247,0,11.455,123.333,118.072,107.822,104.983,0.399,10.599,0.594,63.566,8.287,6.232,7
248,0,14.0,122.667,112.048,103.374,104.817,0.469,11.866,0.55,39.535,7.107,7.826,6
249,0,12.182,113.333,114.458,129.678,110.797,0.538,19.355,0.733,36.434,6.854,1.884,6
250,0,14.727,112.0,115.06,101.687,104.817,0.486,14.171,0.616,56.589,7.865,3.478,6
251,0,11.636,111.333,114.458,119.479,105.814,0.694,15.092,0.695,48.062,6.685,2.174,5
252,0,11.455,120.333,102.41,118.405,104.153,0.365,12.558,0.679,43.411,8.455,2.754,6
253,0,16.364,115.333,118.675,100.537,101.993,0.885,16.359,0.563,16.279,5.843,5.072,5
254,1,17.273,121.333,130.723,103.067,107.143,0.208,2.419,0.652,46.512,10.73,7.826,7
255,1,18.545,132.0,113.855,104.294,115.449,0.625,9.908,0.741,44.961,8.624,3.043,5
256,0,12.909,122.0,138.554,117.178,109.302,1.111,25.23,0.706,31.008,7.444,1.304,5
257,0,16.0,114.0,119.88,113.037,104.485,0.469,12.903,0.658,18.605,6.517,4.203,7
258,1,18.0,122.0,123.494,102.454,109.136,0.191,2.88,0.718,41.86,8.624,3.188,5
259,0,13.273,108.0,122.289,101.61,102.658,0.712,11.175,0.56,30.233,6.938,4.928,5
260,0,13.091,112.667,119.88,101.227,105.482,0.399,20.392,0.597,44.186,7.022,3.913,5
261,0,12.0,109.333,113.855,106.748,105.98,0.156,13.364,0.606,17.054,8.455,2.899,6
262,1,18.364,120.667,124.699,112.73,109.967,0.295,3.802,0.721,44.186,9.972,4.203,7
263,0,12.182,113.333,113.253,101.84,104.153,0.538,12.673,0.552,49.612,6.854,6.667,6
264,0,13.091,115.333,129.518,110.89,106.811,0.885,24.654,0.679,31.008,6.938,1.159,5
265,0,12.909,103.333,116.265,103.067,104.319,0.538,8.065,0.583,37.984,9.551,4.831,6
266,0,15.636,106.0,117.47,102.761,103.322,0.885,13.018,0.545,24.031,5.927,7.101,6
267,0,10.909,128.0,107.831,106.748,103.156,0.191,11.636,0.571,58.915,10.562,7.971,7
268,0,13.091,106.0,121.687,101.994,104.485,0.642,11.982,0.567,25.581,7.697,4.928,6
269,0,16.182,106.667,122.289,100.92,106.645,0.087,10.138,0.627,35.659,7.528,3.043,5
270,0,11.455,111.333,119.277,117.791,105.316,0.729,13.94,0.657,39.535,7.612,3.478,7
271,0,15.091,106.667,118.072,100.92,106.146,0.833,22.235,0.635,24.031,6.348,1.884,5
272,0,11.818,106.667,116.867,100.613,104.651,0.399,9.447,0.574,44.186,7.781,3.841,7
273,1,12.364,141.333,109.036,106.902,111.13,0.208,2.419,0.676,63.566,8.202,5.652,6
274,0,15.818,106.0,126.506,120.706,107.309,0.729,16.014,0.76,43.411,9.466,1.159,8
275,1,21.091,112.0,140.964,102.991,112.625,0.156,2.189,0.691,35.659,8.287,5.507,5
276,0,14.364,110.667,123.494,126.61,107.973,0.764,16.475,0.747,37.984,6.18,0.87,5
